Stars,Product,Origin,CD_name,Dest,DistanceTravelled_Fac_CD,TruckType,DriverF_CD,DaysStocked,FloorCD,DistanceTravelled_CD_Client,TruckType2,DriverCD_C,RoutDeliveryOrder
2,P1,F1,CD3,C301,58,SemiTrailler,D02,15,0,149.7,CityDeliveryTruck,D3_2,5
2,P10,F2,CD1,C104,36,Truck,D03,11,1,175.8,Van,D1_2,6
5,P5,F2,CD1,C103,36,SemiTrailler,D06,17,1,150.3,Van,D1_7,5
3,P4,F1,CD2,C204,162,SemiTrailler,D02,6,4,121.8,MiniVan,D2_2,4
5,P8,F4,CD3,C302,58,SemiTrailler,D02,7,3,149.5,Van,D3_3,5
3,P4,F2,CD3,C304,58,SemiTrailler,D04,34,1,31.1,CityDeliveryTruck,D3_3,1
5,P5,F1,CD3,C303,58,SemiTrailler,D01,24,0,57.7,CityDeliveryTruck,D3_5,2
4,P4,F4,CD3,C302,58,SemiTrailler,D05,27,4,181.1,Van,D3_2,6
4,P13,F4,CD1,C101,36,SemiTrailler,D02,29,0,125.9,CityDeliveryTruck,D1_3,4
4,P5,F2,CD1,C103,36,Truck,D06,13,0,60.5,MiniVan,D1_3,2
3,P3,F1,CD1,C104,36,SemiTrailler,D02,21,1,115.6,Van,D1_7,4
1,P13,F1,CD3,C304,58,Truck,D01,26,4,30.2,Van,D3_4,1
5,P10,F2,CD1,C104,36,SemiTrailler,D04,16,0,172.1,Van,D1_5,6
1,P11,F1,CD2,C205,162,SemiTrailler,D01,12,0,185.9,CityDeliveryTruck,D2_4,6
5,P6,F4,CD3,C304,58,SemiTrailler,D05,29,4,118.2,Van,D3_1,4
3,P1,F2,CD1,C105,36,Truck,D05,36,2,123.5,CityDeliveryTruck,D1_2,4
4,P5,F4,CD3,C302,58,Truck,D02,27,0,172.1,Van,D3_7,6
5,P4,F3,CD2,C201,162,SemiTrailler,D06,16,0,143.4,CityDeliveryTruck,D2_2,5
1,P11,F4,CD2,C203,162,Truck,D02,15,2,115.8,Van,D2_1,4
2,P11,F3,CD1,C105,36,Truck,D01,23,3,93.9,CityDeliveryTruck,D1_3,3
5,P4,F2,CD3,C302,58,Truck,D03,22,1,87.9,Van,D3_1,3
1,P4,F1,CD3,C303,58,Truck,D03,10,2,145.2,Van,D3_6,5
2,P15,F3,CD3,C303,58,SemiTrailler,D04,25,3,122.9,Van,D3_4,4
4,P2,F4,CD3,C305,58,SemiTrailler,D05,12,0,60,Van,D3_4,2
2,P11,F2,CD1,C103,36,Truck,D06,27,0,185.1,Van,D1_6,6
1,P11,F3,CD3,C302,58,SemiTrailler,D02,23,0,57.2,Van,D3_4,2
4,P8,F3,CD1,C101,36,Truck,D05,32,0,61.1,Van,D1_7,2
2,P13,F2,CD2,C202,162,SemiTrailler,D06,28,3,60.6,CityDeliveryTruck,D2_3,2
1,P7,F4,CD3,C302,58,Truck,D04,33,4,182.7,Van,D3_1,6
1,P9,F4,CD1,C103,36,SemiTrailler,D06,13,3,187,MiniVan,D1_3,6
2,P15,F4,CD1,C104,36,Truck,D04,34,3,62.7,Van,D1_2,2
1,P6,F1,CD2,C201,162,Truck,D02,31,4,30.8,Van,D2_6,1
3,P10,F3,CD3,C305,58,SemiTrailler,D06,14,4,115.1,CityDeliveryTruck,D3_6,4
1,P3,F3,CD2,C201,162,Truck,D04,14,1,116.4,Van,D2_5,4
2,P12,F1,CD3,C305,58,SemiTrailler,D02,35,2,120.7,Van,D3_3,4
1,P8,F1,CD1,C104,36,SemiTrailler,D03,29,2,142.7,Van,D1_4,5
4,P11,F4,CD1,C105,36,SemiTrailler,D01,20,1,116.7,Van,D1_7,4
3,P15,F3,CD2,C201,162,SemiTrailler,D05,14,4,89.5,MiniVan,D2_5,3
1,P3,F4,CD3,C302,58,SemiTrailler,D02,31,1,153.3,MiniVan,D3_4,5
3,P2,F2,CD2,C202,162,Truck,D04,32,2,117.5,CityDeliveryTruck,D2_3,4
3,P8,F1,CD3,C301,58,SemiTrailler,D03,34,1,91.2,MiniVan,D3_5,3
3,P3,F4,CD1,C101,36,Truck,D06,21,1,57,MiniVan,D1_6,2
1,P15,F1,CD1,C104,36,SemiTrailler,D01,28,0,180.1,CityDeliveryTruck,D1_2,6
2,P12,F2,CD2,C202,162,Truck,D04,11,1,177.7,Van,D2_7,6
5,P12,F2,CD3,C301,58,Truck,D05,22,2,122,CityDeliveryTruck,D3_7,4
5,P7,F2,CD1,C102,36,SemiTrailler,D04,21,1,184.4,CityDeliveryTruck,D1_1,6
3,P8,F1,CD3,C302,58,SemiTrailler,D01,17,4,30,MiniVan,D3_5,1
2,P2,F2,CD1,C102,36,SemiTrailler,D05,33,3,31.2,CityDeliveryTruck,D1_5,1
1,P9,F3,CD2,C201,162,Truck,D06,30,0,120.5,Van,D2_6,4
3,P7,F3,CD2,C201,162,Truck,D04,5,3,94.1,Van,D2_4,3
5,P5,F3,CD1,C105,36,Truck,D06,11,2,30.2,MiniVan,D1_4,1
6,P10,F3,CD3,C303,58,SemiTrailler,D01,26,1,89.8,Van,D3_4,1
6,P1,F4,CD3,C303,58,SemiTrailler,D04,29,1,149.2,CityDeliveryTruck,D3_4,2
6,P5,F1,CD3,C304,58,Truck,D05,19,3,30,CityDeliveryTruck,D3_4,3
6,P10,F4,CD3,C301,58,Truck,D04,13,2,61,MiniVan,D3_4,4
6,P11,F1,CD3,C303,58,Truck,D06,10,3,87.6,Van,D3_4,5
6,P5,F2,CD3,C304,58,Truck,D06,8,4,61.3,CityDeliveryTruck,D3_4,6
6,P4,F2,CD3,C301,58,SemiTrailler,D05,5,0,175.7,CityDeliveryTruck,D3_4,1
6,P1,F3,CD3,C303,58,SemiTrailler,D04,31,1,145.9,MiniVan,D3_4,2
6,P11,F1,CD3,C301,58,Truck,D06,20,4,120.5,Van,D3_4,4
6,P2,F3,CD3,C305,58,SemiTrailler,D04,10,4,92.6,Van,D3_4,5
6,P15,F4,CD3,C304,58,SemiTrailler,D02,10,1,61.2,Van,D3_4,6
6,P8,F1,CD3,C304,58,SemiTrailler,D05,13,1,116.5,MiniVan,D3_4,6
6,P10,F3,CD3,C301,58,SemiTrailler,D04,16,0,156.3,Van,D3_4,5
,P1,F2,CD3,C302,58,SemiTrailler,D05,29,1,28.7,CityDeliveryTruck,D3_4,1
,P5,F1,CD3,C304,58,SemiTrailler,D01,5,2,28.9,Van,D3_4,1
,P11,F2,CD3,C303,58,Truck,D06,14,4,188.1,MiniVan,D3_4,6
,P3,F1,CD3,C302,58,SemiTrailler,D04,34,3,94.1,CityDeliveryTruck,D3_4,3
,P2,F4,CD3,C305,58,SemiTrailler,D02,6,3,119.2,MiniVan,D3_4,4
,P8,F1,CD3,C303,58,SemiTrailler,D05,22,2,184.7,Van,D3_4,6
,P8,F3,CD3,C303,58,Truck,D04,6,3,87.9,CityDeliveryTruck,D3_4,3
,P8,F2,CD3,C301,58,SemiTrailler,D04,32,3,31.5,CityDeliveryTruck,D3_4,1
,P8,F2,CD3,C301,58,Truck,D01,9,0,120.6,CityDeliveryTruck,D3_4,4
,P3,F1,CD3,C303,58,SemiTrailler,D01,32,2,62.6,Van,D3_4,2
,P14,F1,CD3,C305,58,Truck,D05,25,3,29.9,MiniVan,D3_4,1
,P4,F3,CD3,C301,58,Truck,D04,28,4,187.2,CityDeliveryTruck,D3_4,6
,P8,F3,CD3,C304,58,SemiTrailler,D04,31,2,31.4,Van,D3_4,1
,P4,F1,CD3,C304,58,Truck,D02,24,0,185.5,Van,D3_4,6
,P8,F3,CD3,C303,58,SemiTrailler,D05,34,3,184.9,CityDeliveryTruck,D3_4,6
,P15,F1,CD3,C303,58,Truck,D05,37,1,185.7,Van,D3_4,6
,P1,F4,CD3,C301,58,SemiTrailler,D06,31,0,92.7,CityDeliveryTruck,D3_4,3
,P12,F1,CD3,C302,58,SemiTrailler,D01,33,4,153.9,Van,D3_4,5
,P2,F2,CD3,C302,58,SemiTrailler,D01,15,1,29.8,CityDeliveryTruck,D3_4,1
,P9,F4,CD3,C305,58,SemiTrailler,D03,6,2,92.6,Van,D3_4,3
,P14,F4,CD3,C301,58,SemiTrailler,D02,28,1,155.3,CityDeliveryTruck,D3_4,5
4,P6,F4,CD2,C203,162,SemiTrailler,D05,37,2,59.7,CityDeliveryTruck,D2_2,2
1,P2,F3,CD2,C202,162,SemiTrailler,D06,5,0,94.2,MiniVan,D2_4,3
5,P6,F3,CD2,C202,162,SemiTrailler,D04,27,0,30.9,Van,D2_7,1
2,P9,F3,CD2,C202,162,SemiTrailler,D03,14,0,89.7,Van,D2_7,3
5,P9,F2,CD3,C305,58,Truck,D03,30,1,171.7,Van,D3_2,6
1,P7,F1,CD2,C201,162,Truck,D04,19,4,176.5,CityDeliveryTruck,D2_2,6
4,P1,F2,CD1,C103,36,SemiTrailler,D01,6,2,87.7,Van,D1_6,3
3,P9,F3,CD3,C305,58,SemiTrailler,D06,35,3,88.3,Van,D3_5,3
1,P9,F3,CD2,C202,162,SemiTrailler,D05,25,4,88.6,CityDeliveryTruck,D2_5,3
1,P8,F3,CD1,C101,36,SemiTrailler,D05,30,1,28.9,CityDeliveryTruck,D1_3,1
5,P9,F3,CD3,C301,58,SemiTrailler,D01,24,3,58.5,Van,D3_1,2
3,P1,F2,CD3,C302,58,SemiTrailler,D05,29,1,28.7,CityDeliveryTruck,D3_4,1
5,P6,F3,CD2,C204,162,Truck,D01,5,1,143.3,CityDeliveryTruck,D2_1,5
2,P5,F3,CD1,C102,36,SemiTrailler,D04,9,2,121,Van,D1_4,4
2,P7,F2,CD2,C202,162,SemiTrailler,D04,15,3,152.8,MiniVan,D2_3,5
1,P7,F3,CD3,C302,58,Truck,D04,6,4,152.5,CityDeliveryTruck,D3_2,5
4,P13,F1,CD1,C102,36,SemiTrailler,D05,28,4,171.5,MiniVan,D1_3,6
3,P3,F2,CD2,C205,162,SemiTrailler,D06,19,3,30.8,Van,D2_5,1
2,P5,F3,CD1,C101,36,SemiTrailler,D02,6,1,115.6,Van,D1_3,4
3,P13,F2,CD1,C103,36,SemiTrailler,D01,33,4,91.3,CityDeliveryTruck,D1_6,3
2,P6,F1,CD3,C302,58,SemiTrailler,D05,28,2,152.8,MiniVan,D3_3,5
5,P5,F3,CD2,C202,162,SemiTrailler,D03,15,0,62.4,Van,D2_2,2
5,P9,F1,CD1,C103,36,Truck,D05,10,0,182.2,Van,D1_7,6
3,P10,F4,CD1,C105,36,Truck,D05,31,3,122.2,MiniVan,D1_5,4
2,P3,F3,CD1,C103,36,SemiTrailler,D04,7,0,30.5,Van,D1_3,1
1,P14,F4,CD3,C302,58,SemiTrailler,D03,33,3,30.4,Van,D3_6,1
1,P9,F1,CD2,C203,162,SemiTrailler,D04,9,2,61.8,Van,D2_4,2
4,P1,F3,CD1,C105,36,SemiTrailler,D04,21,1,29.3,MiniVan,D1_7,1
1,P10,F2,CD3,C304,58,SemiTrailler,D03,25,0,57.1,Van,D3_7,2
3,P14,F3,CD1,C102,36,SemiTrailler,D06,8,3,179.1,Van,D1_2,6
4,P5,F4,CD1,C102,36,Truck,D05,14,3,30.4,MiniVan,D1_4,1
1,P11,F1,CD3,C301,58,SemiTrailler,D01,19,3,124.4,CityDeliveryTruck,D3_7,4
1,P7,F1,CD2,C201,162,SemiTrailler,D01,18,1,145.3,Van,D2_1,5
1,P13,F3,CD1,C101,36,Truck,D04,32,0,148.3,Van,D1_3,5
3,P11,F1,CD1,C101,36,Truck,D01,37,0,176.4,Van,D1_4,6
3,P5,F1,CD3,C304,58,SemiTrailler,D01,5,2,28.9,Van,D3_4,1
4,P12,F1,CD3,C304,58,SemiTrailler,D01,13,3,156.6,Van,D3_1,5
4,P12,F3,CD2,C204,162,SemiTrailler,D03,21,3,186.5,CityDeliveryTruck,D2_5,6
2,P8,F3,CD1,C103,36,SemiTrailler,D03,19,2,87.9,Van,D1_5,3
5,P3,F2,CD2,C203,162,SemiTrailler,D06,26,0,87.7,MiniVan,D2_4,3
3,P3,F2,CD2,C202,162,Truck,D02,36,1,30.5,Van,D2_4,1
1,P2,F4,CD3,C304,58,Truck,D03,7,2,57.9,MiniVan,D3_2,2
5,P13,F4,CD2,C201,162,SemiTrailler,D01,17,4,58.1,Van,D2_2,2
4,P11,F2,CD3,C303,58,Truck,D06,14,4,188.1,MiniVan,D3_4,6
1,P10,F1,CD1,C101,36,Truck,D06,36,3,29.1,CityDeliveryTruck,D1_7,1
5,P14,F2,CD3,C302,58,Truck,D03,30,4,31.5,MiniVan,D3_1,1
3,P1,F4,CD2,C203,162,SemiTrailler,D01,15,4,86.5,CityDeliveryTruck,D2_1,3
5,P1,F2,CD3,C304,58,Truck,D05,31,1,187.5,Van,D3_5,6
3,P6,F4,CD3,C304,58,Truck,D02,18,3,60.2,Van,D3_1,2
5,P6,F4,CD2,C205,162,SemiTrailler,D03,33,1,186.6,Van,D2_2,6
3,P4,F2,CD3,C302,58,SemiTrailler,D01,18,1,29.4,Van,D3_2,1
2,P3,F3,CD1,C102,36,SemiTrailler,D04,30,4,86.7,Van,D1_2,3
1,P9,F3,CD2,C201,162,SemiTrailler,D01,15,0,116.4,MiniVan,D2_6,4
3,P11,F2,CD2,C203,162,SemiTrailler,D06,18,4,93.4,MiniVan,D2_7,3
4,P5,F1,CD2,C201,162,Truck,D04,20,2,62.6,CityDeliveryTruck,D2_6,2
4,P14,F4,CD2,C203,162,SemiTrailler,D05,14,1,176.6,Van,D2_6,6
3,P13,F3,CD1,C102,36,SemiTrailler,D04,31,0,31,MiniVan,D1_1,1
3,P1,F3,CD2,C202,162,SemiTrailler,D01,14,4,89.1,MiniVan,D2_5,3
1,P2,F1,CD1,C103,36,SemiTrailler,D01,35,0,29.6,Van,D1_6,1
2,P2,F2,CD1,C105,36,SemiTrailler,D03,7,4,87.8,CityDeliveryTruck,D1_3,3
5,P5,F3,CD1,C104,36,SemiTrailler,D03,14,2,31.5,Van,D1_2,1
5,P2,F2,CD1,C102,36,Truck,D06,19,3,183.7,Van,D1_4,6
5,P4,F2,CD1,C102,36,SemiTrailler,D02,34,0,28.7,Van,D1_6,1
3,P15,F2,CD1,C105,36,SemiTrailler,D01,8,1,153.9,CityDeliveryTruck,D1_2,5
5,P5,F1,CD2,C202,162,SemiTrailler,D06,10,1,149.1,Van,D2_1,5
1,P13,F1,CD3,C304,58,SemiTrailler,D04,18,2,29.8,CityDeliveryTruck,D3_6,1
1,P13,F1,CD3,C304,58,Truck,D05,8,0,153.4,Van,D3_2,5
1,P7,F4,CD2,C203,162,SemiTrailler,D01,24,2,31.5,Van,D2_3,1
5,P10,F2,CD2,C205,162,Truck,D06,15,0,125.9,MiniVan,D2_1,4
4,P12,F1,CD2,C203,162,SemiTrailler,D02,27,4,87.4,CityDeliveryTruck,D2_2,3
3,P12,F2,CD2,C204,162,SemiTrailler,D02,31,4,186.5,Van,D2_4,6
1,P2,F2,CD3,C301,58,SemiTrailler,D01,8,3,93.9,MiniVan,D3_6,3
1,P13,F3,CD1,C105,36,Truck,D03,24,4,183.6,Van,D1_7,6
3,P10,F2,CD1,C104,36,SemiTrailler,D02,20,1,90.8,Van,D1_6,3
3,P14,F4,CD1,C105,36,Truck,D02,5,0,86.5,CityDeliveryTruck,D1_3,3
3,P3,F1,CD3,C302,58,SemiTrailler,D04,34,3,94.1,CityDeliveryTruck,D3_4,3
2,P5,F2,CD1,C105,36,SemiTrailler,D02,8,1,118.7,MiniVan,D1_3,4
5,P8,F3,CD3,C302,58,SemiTrailler,D06,25,3,30.4,Van,D3_5,1
4,P15,F2,CD2,C204,162,SemiTrailler,D06,5,1,29.3,CityDeliveryTruck,D2_2,1
4,P5,F1,CD3,C301,58,SemiTrailler,D03,16,2,89.6,Van,D3_3,3
3,P3,F4,CD2,C204,162,SemiTrailler,D01,19,0,29.4,Van,D2_2,1
5,P1,F2,CD1,C101,36,SemiTrailler,D03,13,0,118,MiniVan,D1_6,4
1,P2,F4,CD3,C305,58,SemiTrailler,D02,6,3,119.2,MiniVan,D3_4,4
5,P1,F4,CD2,C202,162,SemiTrailler,D02,5,0,171.9,MiniVan,D2_4,6
2,P14,F1,CD3,C301,58,SemiTrailler,D03,21,1,185.7,MiniVan,D3_3,6
4,P1,F4,CD1,C101,36,SemiTrailler,D05,20,1,29,Van,D1_6,1
1,P8,F4,CD2,C204,162,SemiTrailler,D03,25,3,58.9,Van,D2_7,2
5,P5,F4,CD3,C302,58,SemiTrailler,D03,29,4,92.7,CityDeliveryTruck,D3_1,3
3,P9,F4,CD3,C301,58,SemiTrailler,D01,37,3,144.6,Van,D3_6,5
1,P14,F2,CD1,C101,36,SemiTrailler,D03,21,0,120,CityDeliveryTruck,D1_3,4
1,P6,F3,CD1,C105,36,SemiTrailler,D01,16,3,150.4,CityDeliveryTruck,D1_2,5
5,P4,F1,CD2,C201,162,SemiTrailler,D06,37,0,30.4,CityDeliveryTruck,D2_5,1
3,P11,F3,CD2,C201,162,SemiTrailler,D04,8,3,174.1,Van,D2_7,6
2,P3,F2,CD2,C203,162,SemiTrailler,D06,8,4,93.9,Van,D2_2,3
2,P13,F2,CD3,C304,58,SemiTrailler,D06,19,3,59.9,CityDeliveryTruck,D3_7,2
1,P5,F3,CD3,C303,58,SemiTrailler,D06,26,0,90.9,CityDeliveryTruck,D3_6,3
1,P11,F2,CD3,C301,58,SemiTrailler,D03,27,0,61.5,CityDeliveryTruck,D3_6,2
2,P10,F1,CD1,C102,36,SemiTrailler,D06,24,0,122.8,Van,D1_5,4
1,P15,F4,CD2,C203,162,SemiTrailler,D05,24,2,58.9,Van,D2_1,2
2,P14,F2,CD1,C102,36,SemiTrailler,D03,37,0,62.3,Van,D1_3,2
4,P14,F4,CD1,C103,36,Truck,D02,35,0,60.5,CityDeliveryTruck,D1_1,2
2,P2,F3,CD2,C205,162,SemiTrailler,D01,7,3,180.4,Van,D2_2,6
2,P11,F3,CD2,C203,162,SemiTrailler,D05,18,3,91.4,Van,D2_1,3
4,P11,F1,CD1,C104,36,SemiTrailler,D01,10,4,29.6,Van,D1_6,1
5,P7,F2,CD1,C105,36,Truck,D05,18,2,90,Van,D1_5,3
3,P7,F4,CD3,C305,58,SemiTrailler,D05,5,4,157,Van,D3_6,5
5,P2,F4,CD3,C302,58,SemiTrailler,D04,33,2,59.6,Van,D3_3,2
1,P4,F3,CD2,C205,162,SemiTrailler,D03,25,4,62.3,Van,D2_4,2
4,P7,F3,CD1,C102,36,Truck,D04,13,2,93.6,Van,D1_2,3
3,P12,F2,CD2,C205,162,SemiTrailler,D01,23,1,144.1,MiniVan,D2_1,5
2,P5,F4,CD2,C203,162,SemiTrailler,D02,15,3,30.2,Van,D2_5,1
4,P1,F1,CD2,C202,162,SemiTrailler,D04,9,3,62.8,Van,D2_1,2
4,P8,F2,CD1,C101,36,Truck,D04,32,1,91.5,CityDeliveryTruck,D1_4,3
1,P7,F3,CD3,C301,58,Truck,D05,21,4,153.9,Van,D3_1,5
3,P8,F1,CD1,C101,36,SemiTrailler,D05,20,2,188.4,Van,D1_7,6
3,P3,F2,CD1,C105,36,Truck,D03,37,3,143.2,MiniVan,D1_3,5
1,P6,F3,CD2,C203,162,Truck,D03,16,4,150.6,Van,D2_4,5
5,P11,F2,CD1,C103,36,Truck,D05,28,2,120.5,Van,D1_3,4
1,P7,F3,CD1,C104,36,SemiTrailler,D04,25,3,183.6,CityDeliveryTruck,D1_2,6
2,P8,F3,CD3,C305,58,SemiTrailler,D04,19,1,157,Van,D3_5,5
3,P9,F3,CD1,C104,36,SemiTrailler,D03,33,3,144.9,MiniVan,D1_5,5
4,P8,F1,CD1,C102,36,Truck,D04,12,0,116.6,Van,D1_5,4
3,P11,F4,CD2,C203,162,SemiTrailler,D02,12,4,60.3,CityDeliveryTruck,D2_1,2
2,P7,F2,CD1,C102,36,SemiTrailler,D03,5,0,28.8,Van,D1_5,1
4,P8,F1,CD3,C301,58,SemiTrailler,D01,18,1,58.3,Van,D3_2,2
2,P2,F4,CD3,C304,58,SemiTrailler,D04,7,3,151.6,CityDeliveryTruck,D3_3,5
1,P13,F1,CD3,C302,58,SemiTrailler,D06,35,1,87.1,CityDeliveryTruck,D3_5,3
4,P14,F1,CD2,C202,162,SemiTrailler,D02,18,3,148.9,CityDeliveryTruck,D2_7,5
4,P11,F4,CD1,C102,36,SemiTrailler,D03,19,2,121,MiniVan,D1_3,4
3,P6,F1,CD2,C202,162,SemiTrailler,D06,12,2,87.5,Van,D2_1,3
3,P7,F1,CD1,C103,36,SemiTrailler,D04,12,3,30.8,Van,D1_6,1
4,P3,F1,CD2,C201,162,SemiTrailler,D06,22,2,89.8,Van,D2_6,3
5,P12,F2,CD3,C304,58,Truck,D01,7,4,187.3,Van,D3_2,6
5,P10,F2,CD2,C203,162,SemiTrailler,D04,7,2,145,Van,D2_2,5
4,P15,F4,CD2,C203,162,SemiTrailler,D02,30,4,62.4,Van,D2_4,2
3,P6,F1,CD1,C104,36,SemiTrailler,D05,30,3,121.4,CityDeliveryTruck,D1_4,4
1,P7,F3,CD3,C301,58,Truck,D03,16,1,123.2,CityDeliveryTruck,D3_3,4
3,P11,F1,CD1,C101,36,SemiTrailler,D03,24,3,92.8,Van,D1_6,3
1,P8,F1,CD3,C303,58,SemiTrailler,D05,22,2,184.7,Van,D3_4,6
3,P1,F3,CD3,C301,58,SemiTrailler,D04,23,2,59.6,Van,D3_2,2
4,P11,F2,CD3,C302,58,SemiTrailler,D03,37,0,125.4,Van,D3_1,4
2,P7,F3,CD2,C204,162,Truck,D01,17,4,176.5,Van,D2_4,6
5,P10,F1,CD2,C204,162,SemiTrailler,D06,20,1,173.3,CityDeliveryTruck,D2_4,6
4,P2,F4,CD2,C205,162,Truck,D05,12,4,114.4,CityDeliveryTruck,D2_1,4
1,P3,F2,CD3,C301,58,SemiTrailler,D06,30,0,87.1,Van,D3_2,3
2,P5,F2,CD1,C104,36,SemiTrailler,D04,35,2,181.6,CityDeliveryTruck,D1_6,6
2,P6,F4,CD1,C101,36,Truck,D06,26,2,124.8,Van,D1_1,4
2,P11,F4,CD1,C102,36,SemiTrailler,D06,24,3,29.1,Van,D1_7,1
5,P14,F3,CD1,C102,36,SemiTrailler,D02,35,0,31.1,Van,D1_5,1
4,P6,F3,CD3,C304,58,SemiTrailler,D02,12,3,62,Van,D3_6,2
2,P15,F3,CD2,C205,162,SemiTrailler,D05,23,3,123.4,CityDeliveryTruck,D2_7,4
4,P4,F3,CD2,C201,162,SemiTrailler,D04,8,1,156.6,Van,D2_2,5
3,P14,F4,CD3,C304,58,SemiTrailler,D02,33,4,30.3,MiniVan,D3_3,1
3,P11,F1,CD3,C302,58,Truck,D04,8,3,180.9,CityDeliveryTruck,D3_2,6
5,P10,F2,CD2,C204,162,SemiTrailler,D06,15,1,147.1,Van,D2_1,5
2,P10,F3,CD2,C202,162,SemiTrailler,D06,9,4,124.2,CityDeliveryTruck,D2_2,4
2,P7,F2,CD1,C103,36,Truck,D06,15,0,60.9,Van,D1_5,2
2,P5,F1,CD2,C203,162,SemiTrailler,D01,28,1,150.7,Van,D2_1,5
2,P13,F4,CD1,C103,36,SemiTrailler,D01,30,2,177.7,Van,D1_4,6
4,P3,F3,CD2,C202,162,SemiTrailler,D05,23,2,88,Van,D2_6,3
5,P2,F1,CD3,C302,58,SemiTrailler,D05,19,3,121.4,Van,D3_2,4
2,P2,F2,CD1,C103,36,Truck,D01,33,4,30.1,Van,D1_1,1
5,P4,F2,CD2,C203,162,Truck,D06,28,2,30.5,MiniVan,D2_3,1
4,P11,F1,CD3,C305,58,SemiTrailler,D06,23,3,150.6,Van,D3_2,5
4,P11,F2,CD2,C201,162,Truck,D01,22,3,88.1,Van,D2_1,3
3,P5,F2,CD2,C203,162,Truck,D05,32,0,58,CityDeliveryTruck,D2_7,2
5,P7,F4,CD1,C102,36,SemiTrailler,D03,10,1,94.4,CityDeliveryTruck,D1_1,3
1,P7,F1,CD2,C201,162,SemiTrailler,D01,16,3,146.3,CityDeliveryTruck,D2_6,5
3,P5,F1,CD1,C103,36,SemiTrailler,D04,5,2,31.1,CityDeliveryTruck,D1_2,1
4,P1,F3,CD1,C101,36,SemiTrailler,D06,13,1,114,MiniVan,D1_5,4
5,P5,F3,CD1,C102,36,SemiTrailler,D04,31,1,62.2,Van,D1_5,2
4,P8,F1,CD3,C303,58,SemiTrailler,D01,15,4,93.8,CityDeliveryTruck,D3_2,3
1,P11,F2,CD3,C301,58,SemiTrailler,D02,31,2,116,CityDeliveryTruck,D3_7,4
2,P9,F3,CD2,C202,162,Truck,D04,29,4,142.6,Van,D2_7,5
4,P2,F1,CD3,C305,58,SemiTrailler,D03,27,0,154.1,Van,D3_2,5
2,P6,F3,CD1,C105,36,SemiTrailler,D03,27,2,123.9,Van,D1_5,4
4,P12,F4,CD3,C304,58,SemiTrailler,D06,19,0,30.5,Van,D3_1,1
5,P10,F2,CD2,C201,162,SemiTrailler,D03,6,3,60.8,Van,D2_3,2
1,P9,F2,CD3,C305,58,Truck,D01,35,4,60,CityDeliveryTruck,D3_6,2
5,P1,F1,CD2,C205,162,SemiTrailler,D06,37,2,143,Van,D2_3,5
1,P14,F3,CD2,C202,162,SemiTrailler,D02,7,4,90.9,Van,D2_4,3
5,P8,F2,CD3,C302,58,SemiTrailler,D02,23,4,115.6,CityDeliveryTruck,D3_2,4
4,P5,F1,CD1,C104,36,SemiTrailler,D02,6,0,85.9,Van,D1_7,3
2,P4,F2,CD1,C105,36,Truck,D06,25,3,62.1,Van,D1_2,2
2,P3,F3,CD2,C201,162,Truck,D04,29,0,92.6,Van,D2_7,3
1,P14,F4,CD2,C202,162,SemiTrailler,D03,34,3,91.1,Van,D2_3,3
2,P12,F4,CD1,C105,36,SemiTrailler,D05,6,1,94.1,Van,D1_7,3
2,P13,F2,CD1,C105,36,SemiTrailler,D01,14,4,30.3,MiniVan,D1_7,1
3,P12,F1,CD2,C203,162,SemiTrailler,D04,30,1,177.2,Van,D2_1,6
3,P6,F4,CD2,C204,162,SemiTrailler,D02,30,4,146.3,CityDeliveryTruck,D2_5,5
3,P5,F2,CD2,C202,162,SemiTrailler,D05,10,0,29.2,Van,D2_7,1
4,P2,F1,CD3,C302,58,SemiTrailler,D06,32,3,92.7,Van,D3_3,3
2,P14,F3,CD3,C303,58,Truck,D01,10,0,173.3,Van,D3_2,6
1,P5,F2,CD1,C105,36,Truck,D04,10,2,90,Van,D1_2,3
2,P8,F3,CD1,C105,36,SemiTrailler,D04,31,0,147.1,Van,D1_2,5
3,P3,F4,CD3,C305,58,Truck,D03,31,0,57.7,CityDeliveryTruck,D3_3,2
3,P9,F2,CD2,C203,162,SemiTrailler,D04,7,4,57.3,Van,D2_5,2
5,P1,F3,CD1,C101,36,SemiTrailler,D02,36,4,61.4,Van,D1_2,2
2,P8,F2,CD3,C305,58,Truck,D04,19,3,122.4,CityDeliveryTruck,D3_6,4
3,P1,F1,CD3,C305,58,Truck,D06,23,2,146.3,Van,D3_5,5
1,P7,F1,CD3,C301,58,SemiTrailler,D01,18,4,180.9,MiniVan,D3_1,6
3,P13,F3,CD2,C201,162,Truck,D06,27,1,183.5,MiniVan,D2_5,6
5,P15,F3,CD3,C303,58,SemiTrailler,D04,10,0,120.4,CityDeliveryTruck,D3_2,4
2,P8,F3,CD3,C303,58,Truck,D04,6,3,87.9,CityDeliveryTruck,D3_4,3
4,P11,F1,CD1,C104,36,Truck,D05,15,4,121.5,Van,D1_2,4
2,P2,F2,CD1,C103,36,SemiTrailler,D06,33,3,92.6,Van,D1_1,3
1,P4,F1,CD1,C103,36,SemiTrailler,D01,22,3,91.9,Van,D1_6,3
5,P6,F4,CD2,C205,162,SemiTrailler,D05,30,4,179.2,MiniVan,D2_6,6
